Claim,Evidence,label
lifespan/life and the universe were created by a deity,"Paley argued that, just as a watch is too complicated and too functional to have sprung into existence merely by accident, so too must all living things, with their far greater complexity, be purposefully designed",1
We should protect endangered species,"The provision of the law in Section 4 that establishes critical habitat is a regulatory link between habitat protection and recovery goals, requiring the identification and protection of all lands, water and air necessary to recover endangered species [REF].",1
We should blackball/ban school uniforms,"Over 8,000 school uniforms have been distributed by the government to needy students in the communities from the Tarkwa Nsuaem municipality, one of the mining districts in Ghana, which is severely affected by poverty. This is part of a program instituted in 2010 to supply disadvantaged children with school uniforms [REF].",1
We should delete/cancel the speed limit,"In the final report issued in 1977, the Institute stated the mandatory speed limit could reduce the autobahn death toll but there would be economic impacts, so a political decision had to be made due to the trade-offs involved [REF].",1
Room/Boarding schools should be abolished,"The boarding schools, which inculcated their own values, became an effective way to encourage local people to share British ideals, and so help the British achieve their imperial goals.",1
We should ostracise/ban school uniforms,"In a country where there is no free compulsory education, attending secondary school is a rare privilege and the school uniform is a badge of honor.",1
We should blackball/ban partial birth abortions,"The Dalai Lama has said that abortion is ""negative"", but there are exceptions. He said, ""I think abortion should be approved or disapproved according to each circumstance.""[REF",1
We should legitimate/legalize organ trade,Proponents of legalized organ trade have hailed the Iranian system as an example of an effective and safe organ trading model.,1
We should abolish intellectual property rights,"Both sides claimed success - with Cisco asserting that ""completion of lawsuit marks a victory for the protection of intellectual property rights"", and Huawei's partner 3Com (which was not a part of lawsuit) noting that court order prevented Cisco from bringing another case against Huawei asserting the same or substantially similar claims [REF].",1
Serve/Assisted suicide should be a criminal offence,The New Zealand Medical Association oppose voluntary euthanasia and doctor assisted suicide maintaining that it is unethical regardless of whether the patient or relatives wishes to have it carried out [REF].,1
We should further tap/exploit hydroelectric dams,"The river is also potentially valuable for hydroelectric power, and the Inga Dams below Pool Malebo are first to exploit the Congo river.",1
Surrogacy should be banned,"In 1985, Singer wrote a book with the physician Deanne Wells arguing that surrogate motherhood should be allowed and regulated by the state by establishing nonprofit 'State Surrogacy Boards', which would ensure fairness between surrogate mothers and surrogacy-seeking parents.",1
We should subsidise/subsidize public service broadcasters,"The Wisconsin Educational Communications Board (WECB) is a Wisconsin state agency committed to ensuring that public radio and public television programs and services are made available throughout Wisconsin, and that these programs and services reflect and respond to the educational and cultural needs of the state's residents.",1
We should scrub/cancel the Affordable Care Act,In 2010 Kevin Smith asserted that the health insurance mandate of the Patient Protection and Affordable Care Act is unconstitutional.,1
We should acquaint/introduce a flat tax,"To that end, the Burke Foundation called for significant budget cuts, tax cuts (especially of income tax) including the implementation of a flat tax, health care reform, and welfare reform.",1
Single-sex schools should be banned,"Alumni argued for the uniqueness of a single-sex education system, and a task force studying the issue voted 11-6 in favor of keeping the all-male tradition.",1
We should ostracise/ban partial birth abortions,"Justice Stephen Breyer, in writing the opinion of the Court, cited Planned Parenthood v. Casey and said that any abortion law that imposed an undue burden on a woman's ""right to choose"" (abortion) was unconstitutional. He said that causing those who procure abortions to ""fear prosecution, conviction, and imprisonment"" was an undue burden, and therefore declared the law to be against the Constitution",1
We should decriminalise/legalize ivory trade,"The abundance of mammoth ivory, and the fact that the trade is legal, has dealt a hard blow against the illegal ivory trade.",1
We should increase wealth redistribution,"Macdonald consistently called for a more equitable redistribution of wealth, so that poorer provinces such as Nova Scotia, could share fully in Canada's prosperity [REF].",1
We should increase immigration to the United States,"The Zero Population Growth organization did not involve itself, for the most part, in U.S. immigration policy, and a subset of the overpopulation movement grew which believed that immigration needed to be reduced, arguing that immigration was driving most U.S. population growth.",1
We should banish/ban male infant circumcision,"Evidently the foreskin could cause ""nocturnal incontinence,"" hysteria, epilepsy, and irritation that might ""give rise to erotic stimulation and, consequently, masturbation."" Another physician, P.C. Remondino, added that ""circumcision is like a substantial and well-secured life annuity .. it insures better health, greater capacity for labor, longer life, less nervousness, sickness, loss of time, and less doctor bills."" No wonder it became a popular remedy [",1
We should ostracize/ban trans fats usage in food,"the NAS dietary recommendations have not recommended the elimination of trans fat from the diet. This is because trans fat is naturally present in many animal foods in trace quantities, and therefore its removal from ordinary diets might introduce undesirable side effects and nutritional imbalances if proper nutritional planning is not undertaken",1
We should acquire/adopt vegetarianism,"Other noted reasons for a vegetarian diet included reduced canine teeth and the lack of claws or talons in the human body which made it almost impossible to hunt and kill another animal without the aid of manufactured tools, as well as the length of the human intestines which made it more difficult to digest meat [REF].",1
We should further overwork/exploit nuclear power,"The recent liberalization of the electricity market in many countries has made the economics of nuclear power generation less attractive,[REF][",1
Community service should be mandatory,"A 2011 policy brief from the American Education Institute notes that many citizens are ""reluctant to recommend that high schools promote civic behaviors like community service and raising money for causes, believing instead that teaching facts and concepts should take priority.""",1
We should subsidise/subsidize biofuels,"The 2008 financial crisis illustrated corn ethanol's limited impact on corn prices, which fell 50% from their July 2008 high by October 2008, in tandem with other commodities, including oil, while corn ethanol production continued unabated",1
We should subsidise/subsidize recycling,"The EPA states that ""recycling aluminum cans, for example, saves 95 percent of the energy required to make the same amount of aluminum from its virgin source, bauxite.""[REF][REF]",1
Community service should be mandatory,"As of the 2007-2008 school year, HKIS High School has a total of 70 registered clubs, with an especially strong focus in community service.",1
We should shun/ban fast food,"Just because children who eat more fast food are the most likely to become obese does not prove that calories from fast foods bear the brunt of the blame.""[REF]",1
We should banish/ban gambling,EF].  The National Gambling Act 2004 prohibited both offering interactive gambling services and engaging in interactive games (games on the Internet) ,1
We should increase gun control,"On December 21, 2012, the National Rifle Association's Wayne LaPierre said gun-free school zones attract killers and that another gun ban would not protect Americans.",1
We should banish/ban the sale of violent video games to minors,"In a Fox News interview conducted several hours after the shooting occurred and before the killer was identified, controversial (and now disbarred) lawyer Jack Thompson, referred to by Fox News as a ""School Shootings Expert,"" stated that the shootings were motivated by violent video games, specifically the perpetrator's use of them.",1
The gratuitous/free market should be protected,"During a 2003 address on the floor of the House of Representatives, Congressman Ron Paul paid tribute to Reed, acknowledging him as ""one of America's leading advocates for liberty"", and remarked that Reed's writings ""reflect his unswerving commitment to limited government and the free market as the best way to promote human happiness.""[REF] .",1
We should subsidise/subsidize renewable energy,Private electricity generators using renewable energy have formed a National Association - Asociación de Productores de Energía Renovable de Honduras (APERH) - to promote the use of renewable energy.,1
We should censor/ban whaling,ensure that risks of extinction are not seriously increased by whaling; enable native people to hunt whales at levels appropriate to their cultural and nutritional requirements (also called 'need'); and  move populations towards and then maintain them at healthy levels.,1
We should further work/exploit wind power,Pickens thinks his plan that would provide 22% of electricity from wind power and the conversion for vehicles from gasoline to gas could be accomplished in less than 10 years with the right leadership [REF].,1
We should acquire/adopt multiculturalism,"A poll conducted by MORI for the BBC in 2005 found that 62 per cent of respondents agreed that multiculturalism made Britain a better place to live, compared to 32 percent who saw it as a threat [REF].",1
We should oppose/fight urbanization,"The latter ""aims to support national and local policy dialogue to promote sustainable urbanisation, ensure the empowerment of local governments and reinforce the importance of active community participation"" by aligning ""urban development efforts at the national, city and community levels"" in Ghana and Vietnam [REF].",1
We should abolish standardized tests,"Data shows that the VAM based on standardized test scores, is a better indicator of teacher performance than any observable attributes.",1
We should further overwork/exploit wind power,"One of the challenges with using wind to replace natural gas is the intermittent nature of wind energy, since the same wind conditions are not always present.",1
innate/natural (non-superinnate/natural) theories adequately explain the development of religion and belief in gods,"Sigmund Freud stressed fear and pain, the need for a powerful parental figure, the obsessional nature of ritual, and the hypnotic state a community can induce as contributing factors to the psychology of religion",1
We should subsidise/subsidize biofuels,"On the other hand, poor countries that do substantial farming have increased profits due to biofuels.",1
We should assume/adopt vegetarianism,"In accordance with , many Hindus embrace vegetarianism to respect higher forms of life.",1
We should blackball/ban alcoholic beverages,"In a 2002 survey of college students by researchers at Duke University Medical Center, 40% of those surveyed who had consumed alcohol recently reported having experienced a blackout within the preceding year [REF",1
The costless/free market should be protected,"David McNally argues that the logic of the market inherently produces inequitable outcomes and leads to unequal exchanges, arguing that Adam Smith's moral intent and moral philosophy espousing equal exchange was undermined by the practice of the free markets he championed.",1
We should assume/adopt multiculturalism,"multiculturalism and immigration led to adaptation problems such as school drop-out, unemployment, and high crime rates.",1
We should vacate/abandon coal mining,"Hansen said that mountaintop removal for coal mining ""[provides] only a small fraction of our energy"" and ""should be abolished.""[REF]",1
We should censor/ban abortions,The Church of England also considers abortion to be morally wrong,1
We should bound/limit the freedom of speech,The individual freedom of expression is therefore essential to the well-being of society.,1
We should censor/ban whaling,"While not actively supporting whaling, several Norwegian environmental groups have stated that they oppose extreme measures, specifically sabotage, against the whaling industry [REF].",1
We should legalise/legalize prostitution,"Paying for sex is illegal (the client commits a crime, but not the prostitute).",1
to guarantee/ensure that minority groups within a society are included in all programs,"Additionally, 95% of all government contracts are awarded to ethnic Malays [REF",1
We should inclose/introduce universal health care,"OSID provides health, welfare and education services, with a strong commitment to medical education and research and a mission to ""love and serve the poorest ones, offering them free health care and education"".",1
We should increase fuel tax,The Senate-approved plan would have raised the money through higher fuel taxes.,1
We should further overwork/exploit green technology,"Several countries have achieved relatively high levels of wind power penetration, such as 21% of stationary electricity production in Denmark,[REF] 18% in Portugal,[REF] 16% in Spain,[REF] 14% in Ireland,[REF] and 9% in Germany in 2010 [REF",1
We should increase international volunteering,"InterVol's charitable objectives are to act as a resource for international volunteers at universities in the United Kingdom while promoting development projects that focus on education, health, conservation and the relief of poverty.",1
Forcible/Physical education should be mandatory,Oak Hill has swimming as a mandatory part of the physical education program.,1
We should blackball/ban full-body scanners,"John Sedat, the principal author of the UCSF letter, responded in November 2010 that the White House's claim that full-body scanners pose no health risks to air travelers is in ""error,"" adding that the White House statement has ""many misconceptions, and we will write a careful answer pointing out their errors.""[REF] .",1
We should subsidise/subsidize embryonic stem cell research,"Furthermore, adult stem cell research may be able to make greater advances if less money and resources were channeled into embryonic stem cell research [REF].",1
Gist/Substance abuse can be harmful to your health and may even be deadly in certain scenarios,"According to some nurse practitioners, stopping substance abuse can reduce the risk of dying early and also reduce some health risks like heart disease, lung disease, and strokes [REF",1
We should acquaint/introduce goal line technology,"In December 2014, the Bundesliga clubs approved goal-line technology that will be introduced at the start of the 2015-16 Bundesliga season.",1
We should banish/ban whaling,Whaling and other threats have led to at least five of the 13 great whales being listed as endangered [REF].,1
We should further overwork/exploit unconventional oil,Unconventional oil is not currently predicted to meet the expected shortfall even in a best-case scenario [REF].,1
We should subsidise/subsidize higher education,"the European Higher Education Area provides Europe with a broad, high quality and advanced knowledge base, and ensures the further development of Europe as a stable, peaceful and tolerant community.",1
We should shun/ban male infant circumcision,"Paul, who was vocally supported by Peter, argued that circumcision was not a necessary practice [REF].",1
We should finish/end affirmative action,"In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] .",1
We should subsidise/subsidize renewable energy,"The report states that ""electricity transport proves to be one of the keys to an economical electricity supply"" and underscores the importance of ""international co-operation in the field of renewable energy use [and] transmission.""",1
We should legitimize/legalize prostitution,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators [REF].",1
We should decriminalize/legalize organ trade,"These unethical practices were the subject of a Summit convened in Istanbul from 30 April to 1 May 2008 by The Transplantation Society (TTS)[REF] and the International Society of Nephrology (ISN) [REF]. The result of these deliberations was the Istanbul Declaration on Organ Trafficking and Transplant Tourism . The development of the Istanbul Summit and Declaration was derived from a direction by the World Health Assembly in 2004 as it adopted resolution WHA57.18 urging member states 'to take measures to protect the poorest and vulnerable groups from transplant tourism and the sale of tissues and organs, including attention to the wider problem of international trafficking in human tissues and organs' [REF].  The Declaration emphasizes that organ trafficking and transplant tourism should be prohibited because they violate the principles of equity, justice and respect for human dignity. The Declaration asserts that because transplant commercialism targets impoverished and otherwise vulnerable donors, it leads inexorably to inequity and injustice and should also be prohibited",1
We should blackball/ban trans fats usage in food,Plaintiffs' complaint cites current scientific evidence that trans fat causes coronary heart disease[REF] and is associated with a higher risk of diabetes[REF] and some forms of cancer [REF].,1
We should ostracise/ban alcoholic beverages,"If alcohol consumption continues, vitamin supplementation alone is not enough to improve the symptoms of most individuals [REF].",1
We should ostracise/ban alcoholic beverages,A study found that intrauterine exposure to alcohol doubled the risk for childhood ANLL [REF,1
We should abolish standardized tests,"Critics also charge that standardized tests encourage ""teaching to the test"" at the expense of creativity and in-depth coverage of subjects not on the test.",1
Felo-de-se/Suicide should be a criminal offence,"Family members disputed police characterizations of Zahau as depressed, describing her instead that as a happy person. Furthermore, they state that Zahau believed as a Christian that suicide was wrong [REF]. After the suicide ruling, Neil Nalepa was quoted as stating, ""I would not believe Rebecca would commit suicide.",1
We should legitimize/legalize doping in sport,"After her death, a 120-page report was filed where Dressel's death has been officially deemed ""due to unknown reasons"",[REF] but German doping analyst Werner Franke said: The fatal incident that killed Birgit Dressel was undoubtedly triggered by anabolic doping [",1
We should protect whistleblowers,"In May 2011, Simard introduced a private member's bill to protect whistleblowers in the Quebec civil service [REF].",1
We should finish/end affirmative action,"Obama writes in his most recent book, The Audacity of Hope: ""Affirmative action programs, when properly structured, can open up opportunities otherwise closed to qualified minorities without diminishing opportunities for white students.""[REF]",1
Single-sex schools should be banned,"Single-sex education in many cultures is advocated on the basis of tradition as well as religion, and is practiced in many parts of the world.",1
We should abolish the monarchy,Johann Hari has written a book God Save the Queen? in which he argues that every member of the royal family has suffered psychologically from the system of monarchy [REF,1
Sexuality/Sex education should be mandatory,"Sex education, he argues, is a form of propaganda against Christian sexual morality.",1
We should terminate/end progressive taxation,South Africa has a progressive income taxation system which is based on the premise that the wealthy should contribute a greater proportion towards supporting the State than the poor.,1
We should acquire/adopt a zero-tolerance policy in schools,"The city has issued a zero tolerance policy, and has been enacting $2,000 minimum fines for any alcohol-related offence [REF].",1
Strong-arm/Physical education should be mandatory,"In 2000 the CDC estimated that more than 40% of the US population was sedentary, another 30% was active but not sufficiently and less than 30% had an adequate level of physical activity [REF",1
We should legitimate/legalize polygamy,"In modern times a minority of Roman Catholic theologians have argued that polygamy, though not ideal, can be a legitimate form of Christian marriage in certain regions, in particular Africa [REF].",1
We should legitimate/legalize same sex marriage,"A July 2011 Public Policy Polling survey found that 81% of New Jersey voters supported legal recognition of same-sex couples, with 41% supporting same-sex marriage and 40% supporting civil unions, while only 17% opposed all legal recognition and 2% were not sure [REF].",1
We should subsidise/subsidize public transportation,"Replying to these suggestions, the Council noted that whilst ""reinstatement of public transport services along Worth Way was the most common suggestion made"", the only means of transport it would consider along that corridor would be a relief road.",1
We should shun/ban the sale of violent video games to minors,"Ultimately, the conclusion reached in Grand Theft Childhood was that ""focusing on such easy but minor targets as violent video games causes parents, social activists and public-policy makers to ignore the much more powerful and significant causes of youth violence that have already been well established, including a range of [non-gender-linked] social, behavioral, economic, biological and mental-health factors.""[REF]",1
We should banish/ban fishing,Fishing can cause several negative physiological and psychological effects for fish populations including: increased stress levels and bodily injuries resulting from lodged fish hooks [REF].,1
We should decriminalise/legalize ivory trade,"The ivory trade greatly increased the slave trade, although it had long been important in intra- and inter-regional trade.",1
We should ostracize/ban private education,Others claim that the private systems could prevent a significant portion of Portugal's population from being able to attend these schools that is also unfair.,1
We should further tap/exploit green technology,"The growing ethanol and biodiesel industries are providing jobs in plant construction, operations, and maintenance, mostly in rural communities. According to the Renewable Fuels Association, ""the ethanol industry created almost 154,000 U.S. jobs in 2005 alone, boosting household income by $5.7 billion. It also contributed about $3.5 billion in tax revenues at the local, state, and federal levels"" [RE",1
We should ostracize/ban beauty contests,"Supporters often cite self-confidence and poise as attributes that children learn during the pageant process, and still more defend pageants as being similar to other athletic, music, or educational programs.",1
We should legitimize/legalize polygamy,"200,000 to 300,000 women attended, calling for a ban on polygamy, and the introduction of civil divorce law [REF].",1
We should crusade/fight nationalism,"In line with this, Tagore denounced nationalism, deeming it among humanity's greatest problems.",1
We should defend/fight global warming,The film includes segments intended to refute critics who say that global warming is unproven or that warming will be insignificant.,1
We should further overwork/exploit wind power,"Verena Frank, project manager at Beluga Shipping GmbH, SkySails GmbH's partner further stated that ""the project's core concept was using wind energy as auxiliary propulsion power and using wind as a free of charge energy"" [REF].",1
We should inclose/introduce recall elections,"The Wisconsin Government Accountability Board voted in favor of all recall elections, but scheduled the Democratic recall elections one week after (August 16, 2011) the Republican recall elections [REF].",1
We should decriminalize/legalize prostitution,"the Canadian Guild for Erotic Labour calls for the legalization of sex work, the elimination of state regulations that are more repressive than those imposed on other workers and businesses, the right to recognition and protection under labour and employment laws, the right to form and join professional associations or unions, and the right to legally cross borders to work",1
We should subsidise/subsidize biofuels,"Another 2010 study published by the World Bank found that ""Brazil's transport sector has a lower carbon intensity compared to that of most other countries because of its widespread use of ethanol as a fuel for vehicles.""[REF",1
We should legitimate/legalize same sex marriage,"A poll conducted in July 2013 found a significant increase in support for same-sex marriage, with 52% of Mexicans in favour of legalising same-sex marriage.",1
Sexuality/Sex education should be mandatory,"Advocates argue that any other type of sexual education would promote sex outside of marriage, which they hold to be immoral and risky.",1
We should blackball/ban free newspapers,"Besides the advantages of large circulation and a large group of readers, free newspapers attract many advertisers.",1
The spare/free market should be protected,Studies show that private market factors can more efficiently deliver many goods or service than governments due to free market competition [REF].,1
We should ostracise/ban abortions,"The Church holds that ""the first right of the human person is his life"" and that life is assumed to begin at fertilization",1
We should decriminalise/legalize polygamy,"LDS historian Todd Compton, in his book In Sacred Loneliness, described many instances where some wives in polygamous marriages were unhappy with polygamy [REF",1
"earnings/profits from the venture go to the charity or group of charities, rather than to a municipality or private casino","BigHeartBingo raises money for major charities like Cancer Research, NSPCC, Save the Children, Age Concern, Great Ormond St Hospital (GOSH), RNIB and Comic Relief amongst many",1
We should insert/introduce universal health care,"Advocates of ""single-payer"" argue that shifting the U.S. to a single-payer health care system would provide universal coverage, give patients free choice of providers and hospitals, and guarantee comprehensive coverage and equal access for all medically necessary procedures, without increasing overall spending.",1
We should increase internet censorship,A BBC News article reported that critics feared this new software could be used by the government to enhance the existing internet censorship system.,1
We should abolish the needle exchange programs,"The harm reduction policy of Switzerland - which includes large-scale syringe exchange programs (also in prisons)[REF] and the medical prescription of heroin for chronic heroin addicts - was introduced against the strong opposition of the UN drug control authorities,[REF] but endorsed by a majority of the Swiss population in several popular referenda [REF].",1
We should subsidise/subsidize biofuels,"A 2006 U.S. Department of Agriculture (USDA) report found that at market prices for ethanol, converting sugarcane, sugar beets and molasses to ethanol would be profitable. [REF",1
Surrogacy should be banned,"Jurisdictions that permit surrogacy sometimes offer a way for the intended mother, especially if she is also the genetic mother, to be recognized as the legal mother without going through the process of abandonment and adoption.",1
We should desolate/abandon democracy,"Another Muslim scholar and thinker, Muhammad Asad, viewed democracy as perfectly compatible with Islam.",1
We should legitimate/legalize the growing of coca leaf,"Since the 1980s, the countries in which coca is grown have come under political and economic pressure from the United States to restrict the cultivation of the crop in order to reduce the supply of cocaine on the international market [REF].",1
We should struggle/fight for Palestinian independence,"Rice has supported Israel, defended Israel's right to protect itself, and promoted the ""road map for peace,"" which includes the establishment of a sovereign Palestinian state.",1
Gender/Sex education should be mandatory,"A recent American Psychological Association (APA) press release supported the inclusion of information about condoms in sex education, saying ""comprehensive sexuality education programs.. discuss the appropriate use of condoms"", and ""promote condom use for those who are sexually active.""",1
We should blackball/ban partial birth abortions,"Opponents of FOCA assert that it would, if passed, invalidate every restriction on abortion nationwide, including parental notification laws, informed consent laws, and bans on partial birth abortion [REF].",1
We should terminate/end water fluoridation,"A 2008 telephone survey found that about half of Canadian adults knew about fluoridation, and of these, 62% supported the idea [REF].",1
We should shun/ban fast food,"The same ad exec featured in a spot where a medical doctor made exaggerated claims of the benefits of fast food that it would cure baldness, help trim extra pounds, and remove wrinkles.",1
We should decriminalize/legalize ivory trade,"The international deliberations over the measures required to prevent the serious decline in elephant numbers almost always ignored the loss of human life in Africa, the fueling of corruption, the ""currency"" of ivory in buying arms, and the breakdown of law and order in areas where illegal ivory trade flourished. The debate usually rested on the numbers of elephants, estimates of poached elephants and official ivory statistics [REF].",1
We should subsidise/subsidize higher education,"Because modernization depended on a vastly increased and improved capability to train scientists and engineers for needed breakthroughs, the renewed concern for higher education and academic quality - and the central role that the sciences were expected to play in the Four Modernizations - highlighted the need for scientific research and training. This concern can be traced to the critical personnel shortages and qualitative deficiencies in the sciences resulting from the unproductive years of the Cultural Revolution, when higher education was shut down.",1
Hound/Hunting should be banned,"In actuality, the Fish and Wildlife Service has determined that hunting is appropriate only for those species for which there is a long tradition of hunting, and for which hunting is consistent with their population status and their long-term conservation.",1
We should finish/end affirmative action,"In fact, untouchables, as well as tribal people and members of the lowest castes in India benefit from broad affirmative action programmes and are enjoying greater political power.""",1
We should insert/introduce school vouchers,"In 2007, he signed into law the Parent Choice in Education Act which he said was ""the largest school-voucher bill to date in the United States.",1
We should subsidise/subsidize public transportation,"Because it is comparatively easy to dig through limestone and there are many natural and man-made open spaces, it has often been proposed that the area should examine the idea of building subways for public transportation.",1
We should further tap/exploit hydroelectric dams,"In October 2010, China Yangtze Power, the largest hydropower corporation in China, and EuroSibEnergo, a Russian energy company, signed a cooperation agreement to expand hydroelectric energy production in Russia and export energy to China's northern territories [REF].",1
We should protect endangered species,"Also, mitigation efforts must be taken to reduce the negative effects on the endangered species [REF].",1
Self-annihilation/Suicide should be a criminal offence,"Shneidman's definition of suicide is a conscious act of self-induced annihilation, best understood as a multidimensional malaise in a needful individual who defines an issue for which suicide is perceived as the best solution. He thought of suicide as psychache or intolerable psychological pain",1
We should subsidise/subsidize public transportation,underfunding of public transportation prevents everyone who needs transportation from having access to it. And those who can choose between public transportation and private transportation will choose private transportation rather than face the inconveniences of public transportation.,1
We should legalise/legalize same sex marriage,"In 2004, Mississippi voters approved a state constitutional amendment banning same-sex marriage and prohibiting Mississippi from recognizing same-sex marriages performed elsewhere.",1
We should espouse/adopt mobile payments,"In partnership with mFoundry, Starbucks created a mobile payment application that is in current use nationwide[REF] and within the first two months of the application being live over 3M customers downloaded and used it.",1
Tattoo/Tattoos should be banned,Haake realized that her medical tattooing skills could also enhance women's appearance.,1
We should further overwork/exploit green technology,Geothermal power capacity grew from around 1 GW in 1975 to almost 10 GW in 2008 [REF,1
Refugee populations consist of people who are terrified and are away from familiar surroundings,"Another study showed that 28.3% of Bosnian refugee women had symptoms of PTSD three or four years after their arrival in Sweden. These women also had significantly higher risks of symptoms of depression, anxiety, and psychological distress than Swedish-born women. For depression the odds ratio was 9.50 among Bosnian women [REF",1
We should subsidise/subsidize public transportation,"The charge would be combined with other traffic reduction implementations, allowing money to be raised for public transit improvements and bike and pedestrian enhancements [REF].",1
We should press/fight urbanization,The biggest threat to their existence is habitat destruction caused by agriculture and urbanisation.,1
We should further overwork/exploit nuclear power,"Bernard Cohen, Professor Emeritus of Physics at the University of Pittsburgh, calculates that nuclear power is many times safer than other forms of power generation [REF].",1
Strong-arm/Physical education should be mandatory,"Two years of physical education (usually referred to as ""gym,"" ""PE"" or ""phys ed"" by students) is commonly required, although some states and school districts require that all students take Physical Education every semester.",1
We should subsidise/subsidize electric cars,BMW's Clean Energy internal combustion hydrogen car has more power and is faster than hydrogen fuel cell electric cars.,1
We should acquire/adopt vegetarianism,"In England, Reverend William Cowherd founded the Bible Christian Church in 1809. Cowherd advocated vegetarianism as a form of temperance and was one of the philosophical forerunners of the Vegetarian Society [REF",1
We should shun/ban partial birth abortions,"She argued on behalf of the abortion provider LeRoy Carhart, to challenge the constitutionality of the Partial-Birth Abortion Ban Act, a federal law that forbids the practice of intact dilation and extraction [REF].",1
We should increase immigration to the United States,"Other studies suggest that immigration reform which includes legalization of unauthorized immigrants might add considerably to U.S. Gross Domestic Product (GDP) over 10 years, and increase wages for workers generally [REF].",1
We should further work/exploit green technology,New Business Development: Incubate start-up companies that promote sustainable environmental technologies and practices.,1
We should forsake/abandon democracy,"Following Franco's death in 1975, Spain moved to restore democracy.",1
We should legitimise/legalize cannabis,"The Drug Enforcement Administration (DEA) has claimed that cannabis decriminalization will lead to increased cannabis use and addiction in the un-sourced pamphlet entitled ""Speaking Out Against Drug Legalization"" [REF]. The pamphlet states in 1979, after 11 states decriminalized private cannabis use, cannabis use among 12th grade students was almost 51 percent and in 1992, when stricter cannabis laws were put in place, the usage rate reduced to 22 percent. The pamphlet also states that when Alaska decriminalized cannabis in 1975, the cannabis use rate among youth eventually rose to twice the national average youth usage rate nationwide",1
We should blackball/ban alcoholic beverages,"A prospective study published in 1997 found ""moderate alcohol consumption appears to decrease the risk of PAD in apparently healthy men.""",1
The vow of celibacy should be abandoned,"Protestant apologists further argue that clerical celibacy violates the Biblical teaching in the First Epistle to Timothy:[REF] .   ""The Spirit clearly says that in later times some will abandon the faith and follow deceiving spirits and things taught by demons. Such teachings come through hypocritical liars, whose consciences have been seared as with a hot iron. They forbid people to marry and order them to abstain from certain foods, which God created to be received with thanksgiving by those who believe and who know the truth. For everything God created is good, and nothing is to be rejected if it is received with thanksgiving.""[REF",1
We should struggle/fight global warming,Scientists have found evidence that increased evaporation could result in more extreme weather as global warming progresses.,1
Holocaust denial should be a criminal offence,"In Israel, a law to criminalize Holocaust denial was passed by the Knesset on July 8, 1986.",1
We should abolish zoos,"Also the use of behavioral training, as another method of behavioral enrichment, has often contributed to the animals well-being as well as allowed zoos to improve dramatically their ability to care for animals, while reducing animal stress and increasing safety for both keeper and animal during care procedures.",1
We should follow/adopt multiculturalism,"Steyn argues that multiculturalism only requires feeling good about other cultures and is ""fundamentally a fraud .. subliminally accepted on that basis.""[REF]",1
box/boxing commissions and other sanctioning bodies were established to regulate the sport,"The first boxing rules, called the Broughton's rules, were introduced by champion Jack Broughton in 1743 to protect fighters in the ring where deaths sometimes occurred [REF",1
We should subsidise/subsidize embryonic stem cell research,"First, that hESC research has the potential to improve our understanding of human health and discover new ways to treat illness.",1
We should protect endangered species,"Kazakhstan in November 2010 reaffirmed a ban on hunting saiga antelopes, and extended this ban until 2021, as the Central Asian nation seeks to save the endangered species [REF].",1
We should further work/exploit hydroelectric dams,"Hydroelectric power plants can operate as base load, load following or peaking power plants. They have the ability to start within minutes, and in some cases seconds.",1
extremity/members of minorities require specific provisions and rights to ensure that they are not marginalised within society,"Speakers of a legally-recognized minority language, for instance, might have the right to education or communication with the government in their mother tongue. Countries that have special provisions for minorities include Canada, China, Ethiopia, Germany, India, the Netherlands, Poland, Romania, Russia, Croatia, and the United Kingdom",1
We should further tap/exploit nuclear power,"As deputy chief of naval operations for fleet operations and readiness from 1962 to 1963,[REF] Griffin supervised an influential Navy study that reversed the Navy's previous stance on its nuclear propulsion program by accepting the view of Vice Admiral Hyman G. Rickover and the Atomic Energy Commission that nuclear power was not prohibitively expensive, and calling for the use of nuclear propulsion in all major surface ships, not just in submarines [REF].",1
We should subsidise/subsidize public service broadcasters,"The transaction was announced by Governor Chris Christie, as part of his long-term goal to end State-subsidized public broadcasting.",1
We should further overwork/exploit geothermal energy,"In 2004, 46.7% of Costa Rica's primary energy came from renewable sources,[REF] while 94% of its electricity was generated from hydroelectric power, wind farms and geothermal energy in 2006 [REF].",1
We should further overwork/exploit wind power,"Dr Mark Diesendorf has suggested that the Australian Government has tried to stop the development of wind power, the lowest-cost, new, renewable electricity source, until such time as coal-fired power stations with CO2 capture and sequestration and possibly nuclear power stations are available.",1
Diseased/Pathological gambling is a common disorder that is associated with social costs,"In a 1995 survey of 184 Gamblers Anonymous members in Illinois, Illinois State Professor Henry Lesieur found that 56 percent admitted to some illegal act to obtain money to gamble",1
We should shun/ban herbal medicine,"Many monasteries developed herb gardens for use in the production of herbal cures,[REF] and these remained a part of folk medicine, as well as being used by some professional physicians.",1
We should ostracise/ban abortions,A June 2007 TNS/MRBI poll found that 43% supported legal abortion if a woman believed it was in her best interest while 51% remained opposed.,1
